new_name	old_name	kind	subsystem
ble_ro_31cac	ro_31cac	global	ble
ble_ro_31cb0	ro_31cb0	global	ble
ble_ro_31cb4	ro_31cb4	global	ble
ble_ro_31cb8	ro_31cb8	global	ble
ble_ro_31cbc	ro_31cbc	global	ble
ble_ro_31cc0	ro_31cc0	global	ble
ble_ro_31cc4	ro_31cc4	global	ble
ble_ro_31cc8	ro_31cc8	global	ble
ble_ro_31ccc	ro_31ccc	global	ble
ble_ro_31cd4	ro_31cd4	global	ble
ble_ro_31cd8	ro_31cd8	global	ble
ble_ro_31d04	ro_31d04	global	ble
ble_ro_31d08	ro_31d08	global	ble
ble_ro_31d0c	ro_31d0c	global	ble
ble_ro_333b0	ro_333b0	global	ble
ble_ro_333c4	ro_333c4	global	ble
ble_ro_333d4	ro_333d4	global	ble
ble_ro_333d8	ro_333d8	global	ble
ble_ro_333dc	ro_333dc	global	ble
ble_ro_333e8	ro_333e8	global	ble
ble_ro_3461c	ro_3461c	global	ble
ble_ro_34620	ro_34620	global	ble
ble_ro_34624	ro_34624	global	ble
ble_ro_34628	ro_34628	global	ble
ble_ro_35b70	ro_35b70	global	ble
ble_ro_35c10	ro_35c10	global	ble
ble_ro_35c44	ro_35c44	global	ble
ble_ro_35c48	ro_35c48	global	ble
ble_ro_35c68	ro_35c68	global	ble
ble_ro_35c6c	ro_35c6c	global	ble
ble_ro_35c70	ro_35c70	global	ble
ble_ro_35c74	ro_35c74	global	ble
ble_ro_35c78	ro_35c78	global	ble
ble_ro_35c7c	ro_35c7c	global	ble
ble_ro_35c80	ro_35c80	global	ble
ble_ro_35c84	ro_35c84	global	ble
ble_ro_35c88	ro_35c88	global	ble
ble_ro_35c8c	ro_35c8c	global	ble
ble_ro_35c90	ro_35c90	global	ble
ble_ro_35c94	ro_35c94	global	ble
ble_ro_35c98	ro_35c98	global	ble
ble_ro_39590	ro_39590	global	ble
ble_ro_395e4	ro_395e4	global	ble
ble_ro_395e8	ro_395e8	global	ble
ble_ro_39c0c	ro_39c0c	global	ble
ble_ro_39c10	ro_39c10	global	ble
ble_ro_39c15	ro_39c15	global	ble
ble_ro_39c17	ro_39c17	global	ble
ble_ro_39c45	ro_39c45	global	ble
ble_ro_39c49	ro_39c49	global	ble
ble_ro_39c57	ro_39c57	global	ble
ble_ro_39c61	ro_39c61	global	ble
ble_ro_39c65	ro_39c65	global	ble
ble_ro_39c69	ro_39c69	global	ble
ble_ro_3a558	ro_3a558	global	ble
ble_ro_3a55c	ro_3a55c	global	ble
